[18:26:16.148] 10E7:83
[18:26:28.538] 20E7:84
[18:26:28.538] 70E7:81
[18:26:28.645] 80E7:82
[18:26:28.645] 90E7:83
[18:26:28.645] A0E7:84
[18:26:28.645] B0E7:81
[18:26:28.645] C0E7:82
[18:26:28.747] D0E7:83
[18:26:28.747] E0E7:84
[18:26:28.747] F0E7:81
[18:26:28.747] 00E8:82
[18:26:28.747] 10E8:83
[18:26:28.747] 20E8:84
[18:26:28.747] 30E8:81
[18:26:28.747] 40E8:82
[18:26:28.747] 70E8:81
[18:26:28.848] 80E8:82
[18:26:28.848] 90E8:83
[18:26:28.848] A0E8:84
[18:26:28.848] B0E8:81
[18:26:28.848] C0E8:82
[18:26:28.848] D0E8:83
[18:26:28.848] E0E8:84
[18:26:28.876] 10E9:83
[18:26:28.948] 20E9:84
[18:26:28.948] 30E9:81
[18:26:28.948] 40E9:82
[18:26:28.953] 50E9:83
[18:26:28.953] 60E9:84
[18:26:28.953] 70E9:81
[18:26:28.953] 80E9:82
[18:26:28.953] B0E9:81
[18:26:29.055] C0E9:82
[18:26:29.055] D0E9:83
[18:26:29.055] E0E9:84
[18:26:29.055] F0E9:81
[18:26:29.055] 00EA:82
[18:26:29.055] 10EA:83
[18:26:29.055] 30EA:81
[18:26:29.158] 40EA:82
[18:26:29.158] 50EA:83
[18:26:29.158] 60EA:84
[18:26:29.158] 70EA:81
[18:26:29.158] 80EA:82
[18:26:29.158] 90EA:83
[18:26:29.158] A0EA:84
[18:26:29.158] B0EA:81
[18:26:29.158] 20EB:82
[18:26:29.297] 30EB:83
[18:26:29.297] 40EB:84
[18:26:29.297] 50EB:81
[18:26:29.306] 60EB:82
[18:26:29.306] 70EB:83
[18:26:29.306] 80EB:84
[18:26:29.306] 90EB:80
[18:26:29.306] 10EC:81
[18:26:29.360] 30EC:83
[18:26:29.360] 40EC:84
[18:26:29.360] 50EC:81
[18:26:29.360] 60EC:82
[18:26:29.360] 70EC:83
[18:26:29.360] 80EC:84
[18:26:29.360] 90EC:81
[18:26:29.367] A0EC:82
[18:26:29.367] B0EC:83
[18:26:29.367] C0EC:84
[18:26:29.367] F0EC:83
[18:26:29.460] 00ED:84
[18:26:29.460] 10ED:81
[18:26:29.460] 20ED:82
[18:26:29.465] 30ED:83
[18:26:29.465] 40ED:84
[18:26:29.465] 50ED:81
[18:26:29.465] 60ED:82
[18:26:29.559] 80ED:84
[18:26:29.567] 90ED:81
[18:26:29.567] A0ED:82
[18:26:29.567] B0ED:83
[18:26:29.567] C0ED:84
[18:26:29.567] D0ED:81
[18:26:29.567] E0ED:82
[18:26:29.567] 30EE:83
[18:26:29.668] 40EE:84
[18:26:29.668] 50EE:81
[18:26:29.668] 60EE:82
[18:26:29.676] 70EE:83
[18:26:29.676] 80EE:84
[18:26:29.676] A0EE:82
[18:26:29.766] B0EE:83
[18:26:29.766] C0EE:84
[18:26:29.766] D0EE:81
[18:26:29.773] E0EE:82
[18:26:29.773] F0EE:83
[18:26:29.773] 00EF:84
[18:26:29.773] 10EF:81
[18:26:29.773] 20EF:82
[18:26:29.867] 30EF:83
[18:26:29.867] 70EF:83
[18:26:29.877] A0EF:82
[18:26:29.877] B0EF:83
[18:26:29.877] C0EF:84
[18:26:29.977] D0EF:81
[18:26:29.977] E0EF:82
[18:26:29.977] F0EF:83
[18:26:29.977] 00F0:84
[18:26:29.977] 10F0:81
[18:26:29.977] 20F0:82
[18:26:29.977] 30F0:83
[18:26:29.977] 40F0:84
[18:26:29.977] 70F0:81
[18:26:30.077] 80F0:82
[18:26:30.077] 90F0:83
[18:26:30.077] A0F0:84
[18:26:30.077] C0F0:82
[18:26:30.077] D0F0:83
[18:26:30.077] E0F0:84
[18:26:30.077] F0F0:81
[18:26:30.088] 00F1:82
[18:26:30.088] 40F1:81
[18:26:30.177] 50F1:82
[18:26:30.177] 60F1:83
[18:26:30.177] 70F1:84
[18:26:30.187] 80F1:81
[18:26:30.187] 90F1:82
[18:26:30.187] A0F1:83
[18:26:30.187] B0F1:84
[18:26:30.277] C0F1:81
[18:26:30.277] F0F1:84
[18:26:30.286] 00F2:81
[18:26:30.286] 10F2:82
[18:26:30.286] 20F2:83
[18:26:30.286] 30F2:84
[18:26:30.286] 60F2:81
[18:26:30.387] 70F2:82
[18:26:30.387] 80F2:83
[18:26:30.387] A0F2:81
[18:26:30.387] B0F2:82
[18:26:30.387] C0F2:83
[18:26:30.387] D0F2:84
[18:26:30.387] E0F2:81
[18:26:30.387] F0F2:82
[18:26:30.387] 20F3:84
[18:26:30.485] 30F3:81
[18:26:30.485] 40F3:82
[18:26:30.485] 50F3:83
[18:26:30.485] B0F3:84
[18:26:30.588] C0F3:81
[18:26:30.588] D0F3:82
[18:26:30.588] E0F3:83
[18:26:30.588] F0F3:84
[18:26:30.588] 00F4:88
[18:26:30.588] 10F4:108
[18:26:30.597] 20F4:112
[18:26:30.646] 30F4:133
[18:26:30.646] 40F4:88
[18:26:30.646] 50F4:108
[18:26:30.646] 60F4:112
[18:26:30.646] 70F4:133
[18:26:30.646] 80F4:88
[18:26:30.646] 90F5:108
[18:26:30.707] C0F5:88
[18:26:30.707] D0F5:108
[18:26:30.707] 00F6:88
[18:26:30.707] 10F6:108
[18:26:30.707] 20F6:112
[18:26:30.707] 30F6:133
[18:26:30.707] 40F6:88
[18:26:30.707] 60F6:108
[18:26:30.797] 70F6:112
[18:26:30.797] B0F6:112
[18:26:30.797] C0F6:133
[18:26:30.797] D0F6:88
[18:26:30.797] F0F6:112
[18:26:30.808] 00F7:133
[18:26:30.808] 10F7:88
[18:26:30.808] 30F7:112
[18:26:30.808] 40F7:133
[18:26:30.808] 50F7:88
[18:26:30.808] 60F7:108
[18:26:30.808] A0F7:88
[18:26:30.896] B0F7:108
[18:26:30.896] C0F7:112
[18:26:30.896] D0F7:133
[18:26:30.896] E0F7:88
[18:26:30.896] F0F7:108
[18:26:30.896] 00F8:112
[18:26:30.909] 10F8:133
[18:26:30.909] 20F8:88
[18:26:30.909] 30F8:108
